FY,Qtr,Month,Day,Date,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Total,Unnamed: 56
FY98,1998Q3,January,hol,1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY98,1998Q3,January,w,1998-01-02,2042.0,4854.0,2168.0,2123.0,5228.0,2138.0,3388.0,4020.0,5880.0,1985,4390.0,3331.0,2723.0,3046.0,2779.0,1748.0,2292.0,3657.0,1509.0,2198.0,3511.0,1422.0,1358.0,2737.0,2227,12818.0,19133.0,15558.0,7324.0,4293.0,6393.0,3940.0,5759.0,4079.0,3543.0,892.0,1222.0,483.0,2462.0,,,,,,,,,,,,160653.0,
FY98,1998Q3,January,sa,1998-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
FY98,1998Q3,January,su,1998-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
FY98,1998Q3,January,w,1998-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
FY98,1998Q3,January,w,1998-01-06,2643.0,7613.0,3787.0,3124.0,9791.0,3370.0,5024.0,7033.0,9309.0,2934,6500.0,3714.0,4158.0,4101.0,4279.0,2599.0,3585.0,5347.0,5300.0,6200.0,5577.0,3015.0,2699.0,4510.0,3432,23969.0,28647.0,17513.0,10939.0,5887.0,9159.0,6207.0,8714.0,5962.0,5784.0,1479.0,4206.0,1436.0,3647.0,,,,,,,,,,,,253193.0,
FY98,1998Q3,January,w,1998-01-07,2653.0,6993.0,3631.0,3334.0,9500.0,3288.0,5023.0,6858.0,9276.0,3060,6075.0,4646.0,4208.0,4040.0,4343.0,2588.0,3595.0,5560.0,5200.0,6200.0,5520.0,2963.0,2723.0,4508.0,3412,24322.0,33707.0,17956.0,11740.0,5943.0,8889.0,6249.0,8621.0,5884.0,5892.0,1555.0,4363.0,1491.0,3706.0,,,,,,,,,,,,259515.0,
FY98,1998Q3,January,w,1998-01-08,2620.0,6816.0,3751.0,3332.0,9791.0,3333.0,5062.0,7109.0,9437.0,3009,6500.0,3858.0,4248.0,4181.0,4178.0,2614.0,3597.0,5473.0,5300.0,6200.0,5737.0,2948.0,2773.0,4573.0,3562,24860.0,34543.0,18289.0,11513.0,6081.0,9001.0,6274.0,8622.0,5882.0,5818.0,1487.0,4100.0,1363.0,3653.0,,,,,,,,,,,,261488.0,
FY98,1998Q3,January,w,1998-01-09,2699.0,7530.0,6816.0,3330.0,9500.0,3225.0,4967.0,6803.0,8945.0,3140,5882.0,4679.0,4095.0,4015.0,4046.0,2536.0,3407.0,5326.0,5200.0,5800.0,5327.0,2726.0,2637.0,4342.0,3418,23638.0,32222.0,17962.0,10897.0,6002.0,9018.0,5995.0,8190.0,5740.0,5720.0,1459.0,4169.0,1361.0,3566.0,,,,,,,,,,,,256330.0,
FY98,1998Q3,January,sa,1998-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
FY98,1998Q3,January,su,1998-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
FY98,1998Q3,January,w,1998-01-12,2528.0,6613.0,6613.0,2939.0,8996.0,3171.0,4707.0,6870.0,8651.0,3622,5666.0,3409.0,3803.0,3857.0,4091.0,2394.0,3340.0,4716.0,5200.0,6200.0,5219.0,2856.0,2634.0,4128.0,3120,22762.0,31946.0,14603.0,10768.0,5702.0,8620.0,5876.0,8280.0,5609.0,5653.0,1387.0,3987.0,1452.0,3592.0,,,,,,,,,,,,245580.0,
FY98,1998Q3,January,w,1998-01-13,2716.0,7266.0,3760.0,3140.0,8355.0,3411.0,5067.0,7165.0,9582.0,3855,6130.0,3531.0,4123.0,4014.0,4296.0,2624.0,3544.0,5183.0,5200.0,5170.0,5502.0,2907.0,2736.0,4363.0,3414,23362.0,33714.0,16199.0,11220.0,6165.0,9158.0,6216.0,9041.0,5966.0,5051.0,1398.0,3999.0,1539.0,3698.0,,,,,,,,,,,,253780.0,
FY98,1998Q3,January,w,1998-01-14,2661.0,7045.0,3655.0,3166.0,8025.0,3213.0,4866.0,7032.0,9096.0,3694,6500.0,3800.0,3904.0,3947.0,4194.0,2526.0,3496.0,5150.0,5200.0,6200.0,5450.0,2769.0,2737.0,4408.0,3414,24265.0,33046.0,15432.0,11436.0,5591.0,8398.0,6086.0,8360.0,5837.0,5850.0,1421.0,4115.0,1436.0,3751.0,,,,,,,,,,,,251172.0,
FY98,1998Q3,January,hol,1998-01-15,2644.0,6776.0,3717.0,3187.0,8351.0,3243.0,5009.0,7077.0,9346.0,3681,5767.0,4652.0,3968.0,4019.0,4016.0,2544.0,3322.0,4955.0,5200.0,6200.0,5361.0,2799.0,2650.0,4386.0,3372,24918.0,32833.0,15870.0,11493.0,5961.0,8848.0,6059.0,8489.0,5802.0,5850.0,1378.0,3885.0,1456.0,3630.0,,,,,,,,,,,,252714.0,
FY98,1998Q3,January,w,1998-01-16,2759.0,7007.0,3613.0,3212.0,8495.0,3578.0,4900.0,6957.0,9114.0,3338,6124.0,4216.0,4093.0,4090.0,2987.0,2500.0,3466.0,5106.0,5200.0,6200.0,5463.0,2701.0,2651.0,4327.0,3459,23857.0,30860.0,17060.0,11372.0,6269.0,9240.0,6179.0,8427.0,5969.0,5356.0,1364.0,4179.0,1376.0,3521.0,,,,,,,,,,,,250585.0,
FY98,1998Q3,January,sa,1998-01-17,1375.0,3120.0,1504.0,1676.0,5613.0,1998.0,2270.0,2063.0,4089.0,1729,3207.0,2441.0,1722.0,2130.0,1858.0,1185.0,1431.0,2401.0,1942.0,1498.0,1918.0,838.0,696.0,1888.0,1142,6103.0,6789.0,13648.0,5130.0,3670.0,5068.0,2646.0,4169.0,2579.0,2146.0,642.0,1806.0,388.0,1340.0,,,,,,,,,,,,107858.0,
FY98,1998Q3,January,su,1998-01-18,720.0,1394.0,791.0,984.0,2925.0,1019.0,1272.0,916.0,1971.0,812,1563.0,1123.0,844.0,1025.0,870.0,603.0,723.0,1324.0,257.0,682.0,1026.0,442.0,342.0,1092.0,558,2705.0,3060.0,6972.0,3355.0,1998.0,2870.0,1392.0,2357.0,1213.0,1148.0,325.0,1053.0,214.0,812.0,,,,,,,,,,,,54752.0,
FY98,1998Q3,January,w,1998-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
FY98,1998Q3,January,w,1998-01-20,2757.0,7448.0,3936.0,3273.0,10046.0,3552.0,5163.0,7445.0,9339.0,3974,6455.0,5059.0,4367.0,4269.0,4407.0,2742.0,3712.0,5517.0,5200.0,6479.0,5603.0,2952.0,2771.0,4538.0,3506,24283.0,34354.0,17728.0,11990.0,6193.0,9650.0,6493.0,11521.0,6321.0,6103.0,1093.0,3992.0,1493.0,3577.0,,,,,,,,,,,,269301.0,
FY98,1998Q3,January,w,1998-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
FY98,1998Q3,January,w,1998-01-22,2861.0,7409.0,3889.0,3294.0,10024.0,3525.0,5071.0,7393.0,9904.0,3922,6373.0,5780.0,4301.0,4381.0,1913.0,2659.0,3650.0,5635.0,5346.0,5981.0,5660.0,2906.0,2695.0,4508.0,3500,24933.0,33800.0,17480.0,12150.0,6453.0,9606.0,6470.0,11354.0,6375.0,6130.0,1438.0,4171.0,1524.0,3547.0,,,,,,,,,,,,268011.0,
FY98,1998Q3,January,w,1998-01-23,2867.0,7714.0,3770.0,3371.0,9773.0,3434.0,4976.0,7054.0,9455.0,3986,6179.0,5196.0,4314.0,4102.0,4480.0,2642.0,3482.0,5779.0,5488.0,5036.0,5674.0,2687.0,2683.0,4506.0,3497,24360.0,31964.0,17886.0,12070.0,6625.0,9542.0,6262.0,10183.0,6420.0,6017.0,1441.0,4183.0,1398.0,3233.0,,,,,,,,,,,,263729.0,
FY98,1998Q3,January,sa,1998-01-24,1516.0,2992.0,1501.0,1499.0,5700.0,2002.0,2283.0,1686.0,3871.0,1939,2919.0,1836.0,1691.0,2029.0,1970.0,1088.0,1358.0,2545.0,1831.0,1283.0,1861.0,794.0,661.0,1869.0,1208,6051.0,8290.0,13868.0,5043.0,3724.0,5297.0,2719.0,4656.0,2489.0,1820.0,386.0,1680.0,386.0,1361.0,,,,,,,,,,,,107702.0,
FY98,1998Q3,January,su,1998-01-25,1014.0,1642.0,945.0,870.0,3396.0,1353.0,1403.0,942.0,2356.0,1203,1903.0,1198.0,980.0,1325.0,1151.0,901.0,753.0,1407.0,866.0,761.0,1063.0,465.0,407.0,1210.0,642,3374.0,4039.0,7177.0,3289.0,2258.0,3495.0,1735.0,2916.0,1437.0,1236.0,282.0,979.0,236.0,623.0,,,,,,,,,,,,63232.0,
FY98,1998Q3,January,w,1998-01-26,2706.0,7065.0,3751.0,3158.0,9519.0,3350.0,4845.0,7052.0,9231.0,3918,5959.0,3208.0,4002.0,4032.0,4264.0,2541.0,3536.0,5208.0,3395.0,5386.0,5344.0,2894.0,2822.0,4412.0,3302,24273.0,32644.0,16284.0,11989.0,6037.0,9146.0,6114.0,10857.0,6014.0,5354.0,1502.0,4068.0,1488.0,3295.0,,,,,,,,,,,,253965.0,
FY98,1998Q3,January,w,1998-01-27,2737.0,7530.0,3888.0,3167.0,9746.0,3580.0,5932.0,7406.0,9698.0,3731,6171.0,3780.0,4357.0,4230.0,4301.0,2675.0,3517.0,5281.0,3912.0,5080.0,5630.0,2922.0,2734.0,4520.0,3455,25762.0,33268.0,17174.0,11513.0,6063.0,9361.0,6206.0,11071.0,6265.0,6067.0,1509.0,4001.0,1509.0,3244.0,,,,,,,,,,,,262993.0,
FY98,1998Q3,January,w,1998-01-28,2746.0,7511.0,3910.0,3228.0,9709.0,3508.0,4994.0,7242.0,9422.0,3454,6167.0,3749.0,4207.0,4189.0,4318.0,2590.0,3544.0,5415.0,3829.0,4935.0,5323.0,2850.0,2775.0,4481.0,3428,25451.0,32933.0,16893.0,11352.0,5774.0,9032.0,5957.0,10329.0,2934.0,5596.0,1533.0,4091.0,1490.0,3430.0,,,,,,,,,,,,254319.0,
FY98,1998Q3,January,w,1998-01-29,2749.0,7084.0,3968.0,3351.0,9863.0,3479.0,4861.0,7080.0,9559.0,3500,6181.0,4247.0,4374.0,4168.0,4295.0,2689.0,3507.0,5298.0,3378.0,4860.0,5177.0,2924.0,2647.0,4466.0,3500,25323.0,33273.0,16679.0,11769.0,6044.0,9299.0,6160.0,10851.0,7219.0,4820.0,1480.0,4137.0,1509.0,3074.0,,,,,,,,,,,,258842.0,
FY98,1998Q3,January,w,1998-01-30,2859.0,7548.0,3792.0,3396.0,10459.0,3665.0,5260.0,7431.0,9824.0,3279,6495.0,7438.0,4351.0,4422.0,4469.0,2745.0,3636.0,6058.0,3306.0,4932.0,5146.0,2747.0,2655.0,4616.0,3638,24729.0,32762.0,18322.0,12510.0,6589.0,9899.0,6306.0,10139.0,7100.0,5591.0,1514.0,4248.0,1361.0,3504.0,,,,,,,,,,,,268741.0,
FY98,1998Q3,January,sa,1998-01-31,1554.0,3072.0,1533.0,1509.0,5929.0,1897.0,2397.0,1789.0,3867.0,1407,3156.0,2815.0,1665.0,2169.0,1872.0,1185.0,1269.0,2454.0,1824.0,1447.0,1656.0,756.0,681.0,1830.0,1358,5270.0,8114.0,13765.0,5088.0,3516.0,5180.0,2675.0,4531.0,2523.0,1949.0,594.0,1553.0,351.0,1333.0,,,,,,,,,,,,107533.0,
FY98,1998Q3,February,su,1998-02-01,892.0,1621.0,871.0,940.0,3261.0,1062.0,1401.0,915.0,2212.0,873,1868.0,3072.0,985.0,1277.0,1053.0,732.0,881.0,1030.0,318.0,783.0,949.0,427.0,400.0,1129.0,668,2902.0,3809.0,7148.0,3106.0,2111.0,3235.0,1606.0,2571.0,1446.0,1234.0,421.0,1198.0,291.0,881.0,,,,,,,,,,,,61579.0,
FY98,1998Q3,February,w,1998-02-02,2630.0,7740.0,3800.0,3122.0,11032.0,3468.0,4939.0,6972.0,9303.0,3702,5923.0,3510.0,4004.0,3844.0,4121.0,2487.0,3419.0,5187.0,5000.0,6000.0,4946.0,2815.0,2639.0,4453.0,3374,23642.0,33526.0,15757.0,11644.0,5489.0,8894.0,5961.0,10486.0,6866.0,5850.0,1443.0,4124.0,1394.0,3686.0,,,,,,,,,,,,257192.0,
FY98,1998Q3,February,w,1998-02-03,2838.0,7357.0,4156.0,3433.0,11188.0,3588.0,5398.0,7394.0,9794.0,3500,6600.0,4874.0,4445.0,4282.0,4788.0,2646.0,3857.0,6038.0,5300.0,6000.0,5147.0,2920.0,2700.0,4815.0,3515,25344.0,34430.0,17423.0,12857.0,6467.0,9931.0,6519.0,11405.0,7223.0,6000.0,1426.0,4346.0,1295.0,3550.0,,,,,,,,,,,,274789.0,
FY98,1998Q3,February,w,1998-02-04,2945.0,7801.0,4287.0,3417.0,11499.0,3691.0,5484.0,7523.0,10333.0,3411,6727.0,7541.0,4702.0,4389.0,4751.0,2858.0,4093.0,6176.0,5200.0,6000.0,5296.0,2957.0,2748.0,4725.0,3618,25384.0,34878.0,17932.0,12956.0,6510.0,10113.0,6609.0,11785.0,7357.0,6342.0,1612.0,4800.0,1500.0,3844.0,,,,,,,,,,,,283794.0,
